state,shootings rate
AK,33
AL,86
AR,63
AZ,201
CA,631
CO,157
CT,17
DC,13
DE,9
FL,300
GA,149
HI,23
IA,29
ID,35
IL,89
IN,88
KS,46
KY,75
LA,88
MA,30
MD,67
ME,17
MI,70
MN,56
MO,113
MS,53
MT,23
NC,135
ND,10
NE,22
NH,12
NJ,53
NM,82
NV,77
NY,86
OH,133
OK,136
OR,66
PA,88
RI,2
SC,71
SD,13
TN,115
TX,390
UT,55
VA,85
VT,8
WA,115
WI,83
WV,38
WY,13
